2020-06-13 16:53:19,401 INFO [root] [__init__.py(<module>:5)] - Test日志会不会打印！！！
2020-06-13 16:53:20,882 INFO [root] [test_ihrm_login.py(test01_login_success:25)] - 登录成功的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'cad226d4-4774-425b-969c-28cc224fac6c'}
2020-06-13 16:53:21,085 INFO [root] [test_ihrm_login.py(test02_mobile_is_empty:33)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:21,268 INFO [root] [test_ihrm_login.py(test03_mobile_is_not_exists:41)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:21,448 INFO [root] [test_ihrm_login.py(test04_password_is_error:49)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:21,623 INFO [root] [test_ihrm_login.py(test05_params_is_none:57)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:21,824 INFO [root] [test_ihrm_login.py(test06_params_is_null:65)] - 登录成功的结果为：{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
2020-06-13 16:53:21,999 INFO [root] [test_ihrm_login.py(test07_more_params:73)] - 登录成功的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '9378dbdd-78d7-4eae-92f2-e024b3349748'}
2020-06-13 16:53:22,220 INFO [root] [test_ihrm_login.py(test08_less_params_mobile:81)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:22,363 INFO [root] [test_ihrm_login.py(test09_less_password:89)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:22,559 INFO [root] [test_ihrm_login.py(test10_params_is_error:97)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-06-13 16:53:22,721 INFO [root] [test_ihrm_login.py(test11_password_is_empty:105)] - 登录成功的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
